Album,Song,Lyrics
walnut whales,2002,erin,erin erin erin erin across america do now cheer me on cant you hear the song for you quick now — caramel dip give it up to the runaway ship hail now — hail to the bitch the hairy literary with the nervous nervous twitch shy your light pops out and we stand there astounded and we pound our heads and shout we shout halleluja look what it did to ya oh a horrible mess and were eating by the river in the sunday dress oh serenade me eatin my biscuits and gravy you are missing from me as you juggle with your uncle in the red red sea i will wait or will knock my knees and talk to you oh so still oh shenandoah we just across the wide missouri you are so bonny shhhh do not worry quick now — caramel dip give it up to the runaway ship lifes so sweet and so low buried in the water yeah buried in the snow so dear deep and so dark sleeping under papers in the central park twentieth floor balcony houses what is home to me twentieth floor balcony houses what is home for me twentieth floor balcony houses what is home to me
walnut whales,2002,flying a kite,dear charming kite do lightly bite the foggy fields the lowing lanes the rickety roads and the kneeling plains oh lazy light with massive might you dare my dream of snowy cloth felt snapping white as albatross is bitten by the wind and rocks is hushed into the clary  moss is ushered here to count his loss my kite pale cotton willow crossed you take my tattered fist its like a catalyst its like a roiling writhing wall of has it come to this if this is medicine woah oh it tastes like medicine just help me get it in flying a kiteflying a kiteflying a kiteflying a kiteflying a kiteflying a kiteflying a kiteflying flying a kite oh woah oh oh gnarly night its like a dog fight its like a cat fight and if i could just hold you close to me woah oh i guess id hold you close to me its like a bull fight and i say i give you a piece of my mind but im giving you a piece of my mouth you blushing boy how could you be so blind flying a kite flying a kite flying a kite flying a kite flying a kite flying a kite flying a kite flying flying a kite oh woah oh la dada de di look at my kite fly over foggy fields the pungent pines the verdant vales and the vapid vines and the thousand purple cups of wine the tearing teeth and the four full tines the crumpling feast and the dawdling dying and you do pick me off the floor stand there staring for a minute like you never saw a girl before there is the door at night the streets are like an open mouth i head south and you stand fair and square and i stand there until the fall blots me out there is no more the cat and mouse to block the door there is no more
walnut whales,2002,the fray,bottom of the ninth inning at which i stray through the crowd first it was what i call quiet then it was biblically loud you should have seen how they tumbled you should have seen how they danced you should have seen them all luscious and lean as they flew by the seat of their pants it was not the boilin frustration it was not that i cannot care less it was not the face of that reverent place in the horrible state of undress i moved in a way i call mindless i flatter myself a move true i carved out a j in the spectators fray because thats just the thing that we do yes i carved out my name in the ninth of the game because thats just a thing that we do
yarn and glue,2003,yarn and glue,do you know what this is son this is the panopticon and all around us blink the brash and shifty eyes of common cash so do we die or do we travel down the path by which one dabbles in the arts of ante diluvian crafts with yarn and glue so gather twilight to your breast and couch the rabble rousers nest and we will take a day of rest and we will all be heaven blessed and we will gather round to dine and pass the time with wicked rhymes and toast in dandelion wines to hear their mellifluous chimes we toast the fallow furrows that we sow we toast the monies that we owe oh oh we toast the creditors we daily face who topple down with gruesome grace and we toast the aristocrats with blood of blue because we know our collars are that color too and we toast the artisans of antediluvian crafts with yarn and glue we do we do
the milkeyed mender,2004,bridges and balloons,we sailed away on a winters day with fate as malleable as clay but ships are fallible i say and the nautical like all things fades and i can recall our caravel a little wicker beetle shell with four fine masts and lateen sails its bearings on cair paravel o my love o it was a funny little thing to be the ones tove seen the sight of bridges and balloons makes calm canaries irritable and they caw and claw all afternoon catenaries and dirigibles brace and buoy the living room a loom of metals warp woof wimble and a thimbles worth of milky moon can touch hearts larger than a thimble o my love o it was a funny little thingto be the ones tove seen o my love o it was a funny little thing it was a funny funny little thing 
the milkeyed mender,2004,the book of righton,we should shine a light on a light on and the book of right ons right on it was right on we should shine a light on a light on and the book of right ons right on it was right on i killed my dinner with karate kick em in the face taste the body shallow work is the work that i do do you want to sit at my table my fighting fame is fabled and fortune finds me fit and able and you do say that you do pray and you say that youre okay and do you want to run with my pack do you want to ride on my back pray that what you lack does not distract and even when you run through my mind something else is in front youre behind and i dont have to remind you to stick with your kind and you do say that you do pray and you say that youre okay and even when you touch my face you know your place and even when you touch my face you know your place we should shine a light on a light on and the book of rightons right on it was right on 
the milkeyed mender,2004,sadie,sadie white coat you carry me home and bury this bone and take this pinecone bury this bone to gnaw on it later gnawing on the telephone and till then we pray suspend the notion that these lives do never end and all day long we talk about mercy lead me to water lord i sure am thirsty down in the ditch where i nearly served you up in the clouds where he almost heard you and all that we built and all that we breathed and all that we spilt or pulled up like weeds is piled up in back and it burns irrevocably and we spoke up in turns till the silence crept over me and bless you and i deeply do no longer resolute and i call to you but the water got so cold and you do lose what you dont hold this is an old song these are old blues this is not my tune but its mine to use and the seabirds where the fear once grewwill flock with a fury and they will bury whatd come for you and down where i darn with the milkeyed mender you and i and a love so tender stretched on a hoop where i stitch this adage bless our house and its heart so savage and all that i want and all that i need and all that i got is scattered like seed and all that i knew is moving away from me and all that i know is blowing like tumbleweed and the mealy worms in the brine will burnin the salty pyre among the fauns and ferns and the love we hold and the love we spurn will never grow cold only taciturn and ill tell you tomorrow sadie go on home now and bless those who sicken below and bless us who have chosen so and all that i got and all that i need i tie in a knot and i lay at your feet and i have not forgot but a silence crept over me so dig up your bone exhume your pinecone my sadie
the milkeyed mender,2004,inflammatory writ,oh where is your inflammatory writ your text that would incite a light be lit our music deserving devotion unswerving cry do i deserve her with unflagging fervor well no we do not if we cannot get over it but whats it mean when suddenly were spent tell me true ambition came and reared its head and went far from you even mollusks have weddings though solemn and leaden but you dirge for the dead and take no jam on your bread just a supper of salt and a waltz through your empty bed and all at once it came to me and i wrote him hunched till four thirty but that vestal light it burns out with the night in spite of all the time that we spend on it on one bedraggled ghost of a sonnet while outside the wild boars root without bending a bough underfoot o it breaks my heart i dont know how they dot so dont ask me and as for my inflammatory writ well i wrote it and i was not inflamed one bit advice from the master derailed that disaster he said hand that pen over to me poetaster while across the great plains keening lovely awful ululate the lost great american novels an unlawful lot left to stutter and freeze flood lit but at least they didnt run to their undying credit 
the milkeyed mender,2004,this side of the blue,svetlana sucks lemons across from me and i am progressing abominably and i do not know my own way to the sea but the saltiest sea knows its own way to me and the city that turns turns protracted and slow and i find myself toeing thembarcadero and i find myself knowing the things that i knew which is all that you can knowon this side of the blue and jaime has eyes black and shiny as boots and they march at you two by two reloo reloo when she looks at you you know shes nowhere near through its the kindest heart beating this side of the blue and the signifieds butt heads with the signifiers and we all fall down slackjawed to marvel at words when across the sky sheet the impossible birds in a steady illiterate movement homewards and gabriel stands beneath forest and moon see them rattle boo see them shake and see them loom see him fashion a cap from a page of camus and see him navigate deftly this side of the blue and the rest of our lives will the moments accrue when the shape of their goneness will flare up anew then we do what we have to do reloo reloo which is all that you can doon this side of the blue its all that you can doon this side of the blue 
the milkeyed mender,2004,en gallop,this place is damp and ghostly i am already gone and the halls were lined with the disembodied and the dustly wings which fell from flesh gasplessly and i go where the trees go and i walk from a higher education for now and for hire it beats me but i do not know and it beats me but i do not know it beats me but i do not know i do not know palaces and stormclouds and the rough straggly sage and the smoke and the way it will all come together in quietness and in time and you laws of property you free economy and you unending afterthoughts you couldve told me before never get so attached to a poem you forget truth that lacks lyricism and never draw so close to the heat that you forget that you must eat 
