,Album,Song,Lyrics
0,Walnut Whales (2002),Erin,"Erin, Erin, Erin! Erin across America Do now cheer me on Can't you hear the song for you? Quick, now — caramel dip Give it up to the runaway ship Hail, now — hail to the bitch The hairy literary with the nervous, nervous twitch Shy, your light pops out And we stand there astounded And we pound our heads and shout We shout halleluja Look what it did to ya Oh, a horrible mess And we're eating by the river in the sunday dress Oh, serenade me Eatin' my biscuits and gravy You are missing from me As you juggle with your uncle in the red Red Sea I will wait, or will Knock my knees and talk to you, oh so still Oh Shenandoah We just across the wide Missouri You are so bonny shhhh do not worry Quick, now — caramel dip Give it up to the runaway ship Life's so sweet and so low Buried in the water, yeah, buried in the snow So dear, deep and so dark Sleeping under papers in the central park Twentieth floor balcony Houses what is home to me Twentieth floor balcony Houses what is home for me Twentieth floor balcony Houses what is home to me"
1,Walnut Whales (2002),Cassiopeia,"Feel the mattress tense beneath melike the muscle of non-sleepy; feathers flexing will defeat me, and it vexes me completely. And his hexes heat covertlylike a slow low-flying turkey, like a Texan drying jerkybut his meaty mitts can't hurt me. With my steely will compoundedin a mighty mound that's houndedby the snap your steel string soundedjust before your snores unwound it And in store are dreams so daringthat the night can't stop from staring. I'll swim sweetly as a herringthrough the ether, not despairing. Go to sleep, you stunning sky; gently creep cunning by. A quiet hum is amplifiedby your thumb, that you suck dry. Hundred raging waterssnare the lonely sigh. Hold your breathand clasp at Cassiopeia. Hundred raging waterssnare the lonely sigh. Hold your breathand clasp at Cassiopeia. Cassiopeia, Cassiopeia, Cassiopeia Cassiopeia, Cassiopeia, Cassiopeia"
2,Walnut Whales (2002),"Peach, Plumb, Pear","We speak in the store I'm a sensitive boreand you're markedly moreand I'm oozing surprise. But it's late in the dayand you're well on your wayand my Valentine's grayand I'm suddenly shy. And the gathering flooziesafford to be choosyand all sneezing darklyin the dimming divide. I have read the right booksto interpret your looksand you're knocking me downwith the palm of your eye. Nah nah nah nah. . . This is unlike the storyit was written to be I am riding its backwhen it used to ride me. And we are galloping manicto the mouth of the source And we are swallowing panicin the face of its force. I am blue. I am blue. I am blue and unwell, so I bolt like a horse. Oh, you're so gone. To chew some ice. And you've changed some. Reduced to tongue eardrum thumb pencil and price. I'm so dear. I run rare. I run rare. But you've changed some: peach, plum, pear. Peach plum! "
3,Walnut Whales (2002),Clam Crab Cockle Cowrie,"That means no where I come from. I am cold, and waiting for the day to come. I chew my lips, and I scratch my nose: feels so good to be a rose. Oh don't, don't you lift me uplike I'm so shy, no no no no no, just give it up —See there are bats all dissolving in a rowinto the wishy-washy dark that can't let go. I cannot let go, so I thank the lord, and I thank his sword! 'tho it be mincing up the morning, slightly bored O, morning without warning like a hole, And I watch you go. There are some morningswhen the sky looks like a road. There are some dragonswho were built to have and hold. And some machinesare dropped from great heights lovingly. And some great bellies ache with many bumblebees. I do as I please. Now I'm on my knees. Your skin is something that I stir into my tea. And I am watching youand you are starry, starry, starryand you will never ever know how very sorryyou will be. . . I am. Now I'm tumbling down, and I check a frown. That's why I love this town. Well, just look aroundto see me serenaded hourly! celebrated sourly! dedicated dourly; waltzing with the open sea —clam, crab, cockle, cowrie: will you just look at me? "
4,Walnut Whales (2002),Flying a Kite,"Dear charming kite Do lightly bite The foggy fields, the lowing lanes The rickety roads and the kneeling plains Oh lazy light With massive might You dare my dream of snowy cloth Felt snapping white as albatross Is bitten by the wind and rocks Is hushed into the clary [? ] moss Is ushered here to count his loss My kite, pale cotton, willow crossed You take my tattered fist It's like a catalyst It's like a roiling writhing wall of ""has it come to this? ""If this is medicine woah-oh It tastes like medicine Just help me get it in Flying a kite Flying a Kite flying a kite-Flying a kite-Flying a kite-Flying a kite-Flying a kite-Flying Flying a kite Oh-woah-oh[x2]Oh gnarly night It's like a dog fight It's like a cat fight And if I could just hold you close to me, woah-oh I guess I'd hold you close to me It's like a bull fight And I say I give you a piece of my mind But I'm giving you a piece of my mouth You blushing boy how could you be so blind? Flying a kite Flying a Kite flying a kite-Flying a kite-Flying a kite-Flying a kite-Flying a kite-Flying Flying a kite Oh-woah-oh[x2]La da-da, de di Look at my kite fly Over foggy fields The pungent pines The verdant vales And the vapid vines And the thousand purple cups of wine The tearing teeth and the four full tines The crumpling feast and the dawdling dying And you do Pick me off the floor Stand there staring for a minute Like you never saw a girl before There is the door At night the streets are like an open mouth I head south And you stand fair and square and I stand there Until the fall blots me out There is no more The cat and mouse to block the door There is no more"
5,Walnut Whales (2002),The Fray,"Bottom of the ninth inning At which I stray through the crowd First it was what I call quiet Then it was biblically loud You should have seen how they tumbled You should have seen how they danced You should have seen them all luscious and lean As they flew by the seat of their pants It was not the boilin' frustration It was not that I cannot care less It was not the face of that reverent place In the horrible state of undress I moved in a way I call mindless I flatter myself a move true I carved out a ""J"" in the spectators' fray Because that's just the thing that we do Yes, I carved out my name in the ninth of the game Because that's just a thing that we do"
6,Walnut Whales (2002),En Gallop!,"This place is damp and ghostly I am already gone. And the halls were linedwith the disembodied and the dustly wings, which fell from flesh gasplessly. And I go where the trees are, and I walk from a higher education(for now, and for hire). It beats me, but I do not know. It beats me, but I do not know. It beats me, but I do not know. I do not know. Palaces and stormcloudsthe rough, straggly sage, and the smokeand the way it will all come together(in quietness, in time). Bitch, you laws of propertybitch, you free economybitch, you unending afterthoughts, you could've told me before —Never get so attached to a poemyou forget truth that lacks lyricism; never draw so close to the heatthat you forget that you must eat. In order to make the musicseems I must break so many things. Turn over like bracken and sea-shrapnelgrazed by the tongue of a beetle-green sea. Let each note bea full-bodied song: enough fingers, enough toes, skin to cover the rich, bloody beat, enough belly, enough feet. "
7,Walnut Whales (2002),The Book of Right-On,"We should shine a light on, a light on. And the book of right-on's right on, it was right on. We should shine a light on, a light on. And the book of right-on's right on, it was right on. I killed my dinner with karate —kick 'em in the face, taste the body; shallow work is the work that I do. Do you want to sit at my table? My fighting fame is fabledand fortune finds me fit and able. And you do say that you do pray, and you say that you're okay. Do you want to run with my pack? Do you want to ride on my back? Pray that what you lack does not distract. And even when you run through my mindsomething else is in front; you're behind. And I don't have to remind youto stick with your kind. And you do say that you do pray, and you say that you're okay. And even when you touch my faceyou know your place. And even when you touch my faceyou know your place. We should shine a light on, a light on. And the book of right-on's right on, it was right on. "
8,Yarn and Glue (2003),Sprout and the Bean,"I slept all day I woke with distasteand I railed, and I raved That the difference betweenthe sprout and the beanit is a golden ring, it is a twisted string. You can ask the councillor; and you can ask the king; and they'll say the same thing; and it's a funny thing: Should we go outside? Should we go outside? Should we break some bread? Are y'interested? And as I said, I slept as though deaddreaming seamless dreams of lead. When you go away, I am big-boned and feyin the dust of the day, and in the dirt of the day. And the Danger! Danger! Drawing near them was a broad boat, and Danger! Danger! Drawing near them was a white coat, And the water! water! Running clear beneath a white throat, and the hollow chatterof the talking of the tadpoles, who know th'outside! Should we go outside? Do you know th'outside? Should we go outside? "
9,Yarn and Glue (2003),This Side of the Blue,"Svetlana sucks lemons across from me, and I am progressing abominably. And I do not know my own way to the seabut the saltiest sea knows its own way to me. And the city that turns, turns protracted and slowand I find myself toeing th'Embarcaderoand I find myself knowingthe things that I knewwhich is all that you can knowon this side of the blue. And Jaime has eyesblack and shiny as bootsand they march at you two-by-two(re-loo re-loo); when she looks at you, you know she's nowhere near through: it's the kindest heart beatingthis side of the blue. And Gabriel stands beneath forest and moon. See them rattle & boo, see them shake, see them loom. See him fashion a cap from a page of Camus; see him navigate deftly this side of the blue. And the signifieds butt headswith the signifiers, and we all fall down slack-jawedto marvel at words! When across the sky sheet theimpossible birds, in a steady, illiterate movement homewards. And the rest of our liveswill the moments accruewhen the shape of their gonenesswill flare up anew. Then we do what we have to do(re-loo re-loo), which is all that you can doon this side of the blue. It's all that you can doon this side of the blue. "
